ID,MODEL,PARAMETERS,ACCURACY,PRECISION,RECALL,AUC,F1
139,KNN,"{'algorithm': 'ball_tree', 'weights': 'distance', 'n_neighbors': 10}",0.9315,0.4,0.0117474302496,0.505229869219,0.0228245363766
140,KNN,"{'algorithm': 'ball_tree', 'weights': 'uniform', 'n_neighbors': 25}",0.9322,0.666666666667,0.00881057268722,0.504244324867,0.0173913043478
141,KNN,"{'algorithm': 'ball_tree', 'weights': 'distance', 'n_neighbors': 25}",0.932,0.545454545455,0.00881057268722,0.504137017216,0.0173410404624
142,KNN,"{'algorithm': 'ball_tree', 'weights': 'uniform', 'n_neighbors': 50}",0.932033333333,0.75,0.00293685756241,0.501432659564,0.00585080448562
143,KNN,"{'algorithm': 'ball_tree', 'weights': 'distance', 'n_neighbors': 50}",0.9321,0.607142857143,0.00832109642682,0.50396381752,0.0164171897634
144,KNN,"{'algorithm': 'ball_tree', 'weights': 'uniform', 'n_neighbors': 100}",0.931833333333,0.454545454545,0.00489476260401,0.502232766,0.00968523002421
145,KNN,"{'algorithm': 'ball_tree', 'weights': 'distance', 'n_neighbors': 100}",0.931966666667,0.555555555556,0.00489476260401,0.502304304434,0.00970402717128
146,KNN,"{'algorithm': 'kd_tree', 'weights': 'uniform', 'n_neighbors': 1}",0.896266666667,0.143904063957,0.105726872247,0.529881714193,0.121896162528
147,KNN,"{'algorithm': 'kd_tree', 'weights': 'distance', 'n_neighbors': 1}",0.896266666667,0.143904063957,0.105726872247,0.529881714193,0.121896162528
148,KNN,"{'algorithm': 'kd_tree', 'weights': 'uniform', 'n_neighbors': 5}",0.930166666667,0.321917808219,0.0230053842389,0.509732115877,0.0429419826405
149,KNN,"{'algorithm': 'kd_tree', 'weights': 'distance', 'n_neighbors': 5}",0.9287,0.257575757576,0.0249632892805,0.50985260719,0.045515394913
150,KNN,"{'algorithm': 'kd_tree', 'weights': 'uniform', 'n_neighbors': 10}",0.9323,0.7,0.0102790014684,0.504978539258,0.0202604920405
151,KNN,"{'algorithm': 'kd_tree', 'weights': 'distance', 'n_neighbors': 10}",0.9315,0.4,0.0117474302496,0.505229869219,0.0228245363766
152,KNN,"{'algorithm': 'kd_tree', 'weights': 'uniform', 'n_neighbors': 25}",0.9322,0.666666666667,0.00881057268722,0.504244324867,0.0173913043478
153,KNN,"{'algorithm': 'kd_tree', 'weights': 'distance', 'n_neighbors': 25}",0.932,0.545454545455,0.00881057268722,0.504137017216,0.0173410404624
154,KNN,"{'algorithm': 'kd_tree', 'weights': 'uniform', 'n_neighbors': 50}",0.932033333333,0.75,0.00293685756241,0.501432659564,0.00585080448562
155,KNN,"{'algorithm': 'kd_tree', 'weights': 'distance', 'n_neighbors': 50}",0.9321,0.607142857143,0.00832109642682,0.50396381752,0.0164171897634
156,KNN,"{'algorithm': 'kd_tree', 'weights': 'uniform', 'n_neighbors': 100}",0.931833333333,0.454545454545,0.00489476260401,0.502232766,0.00968523002421
157,KNN,"{'algorithm': 'kd_tree', 'weights': 'distance', 'n_neighbors': 100}",0.931966666667,0.555555555556,0.00489476260401,0.502304304434,0.00970402717128
